id_venda,id_cliente,id_vendedor,id_produto,quantidade,valor,data_venda
1,194,2,43,1,56.39,2024-05-27
2,245,6,10,2,604.65,2024-03-30
3,12,2,72,2,904.22,2024-09-27
4,91,11,52,5,1446.04,2024-01-16
5,31,4,43,2,98.36,2024-04-12
6,249,10,57,3,457.93,2024-07-20
7,211,7,45,5,378.31,2024-05-03
8,36,14,61,1,114.61,2024-05-16
9,107,7,10,3,775.34,2024-01-13
10,68,13,67,4,1481.27,2024-03-04
11,34,15,34,5,374.13,2024-10-09
12,145,2,35,5,596.04,2024-05-07
13,182,11,6,1,103.83,2024-11-07
14,10,9,39,5,1526.94,2024-07-21
15,220,13,9,2,182.5,2024-08-12
16,31,11,49,5,305.97,2024-05-29
17,154,2,20,2,145.6,2024-01-26
18,123,8,28,2,81.39,2024-06-14
19,47,7,57,5,648.06,2024-10-25
20,157,10,31,1,114.48,2024-05-15
21,218,3,18,1,69.93,2024-01-27
22,118,9,70,2,372.2,2024-07-29
23,216,1,1,3,864.1,2024-10-06
24,186,13,79,5,649.21,2024-09-15
25,150,15,35,1,120.22,2024-08-15
26,188,1,65,5,692.08,2024-12-04
27,8,9,10,5,1330.67,2024-05-13
28,137,5,14,4,529.15,2024-07-01
29,132,9,30,5,1960.66,2024-09-16
30,34,6,2,1,67.76,2024-01-24
31,122,7,3,2,558.37,2024-07-13
32,196,10,33,2,128.5,2024-09-12
33,210,11,6,5,541.22,2024-10-13
34,202,15,51,5,1009.72,2024-12-09
35,171,15,35,1,126.56,2024-04-27
36,31,12,13,5,174.16,2024-06-30
37,12,7,58,2,227.04,2024-05-25
38,229,11,71,5,1214.5,2024-07-12
39,202,6,71,4,1112.46,2024-11-23
40,227,1,54,3,740.81,2024-07-11
41,140,7,9,5,395.39,2024-05-16
42,131,8,23,4,412.2,2024-10-14
43,80,6,45,5,466.71,2024-11-18
44,71,7,5,1,289.63,2024-10-20
45,69,13,58,5,656.18,2024-01-22
46,137,15,35,5,623.77,2024-10-21
47,28,2,23,2,261.61,2024-02-27
48,186,10,36,2,92.92,2024-02-25
49,55,4,52,1,291.82,2024-05-07
50,236,1,58,5,562.76,2024-06-19
51,6,13,47,3,329.45,2024-09-10
52,172,3,46,1,89.37,2024-12-22
53,71,5,64,4,478.82,2024-02-02
54,194,8,9,5,383.34,2024-05-12
55,238,10,32,5,506.86,2024-01-02
56,103,14,73,2,171.63,2024-02-10
57,70,8,24,2,82.53,2024-11-14
58,161,3,42,5,957.4,2024-12-05
59,159,9,32,5,434.38,2024-11-12
60,113,9,57,4,517.01,2024-12-18
61,84,15,42,3,596.52,2024-01-26
62,49,2,24,1,47.48,2024-09-01
63,168,6,6,3,352.99,2024-08-30
64,23,2,80,5,727.87,2024-04-16
65,81,7,71,2,479.6,2024-10-23
66,84,5,12,4,106.61,2024-01-26
67,153,1,74,3,578.87,2024-06-01
68,249,9,6,1,104.23,2024-07-11
69,175,7,72,5,1982.86,2024-09-11
70,13,7,52,3,859.45,2024-06-08
71,162,6,53,3,872.94,2024-01-15
72,69,10,29,2,936.98,2024-11-07
73,109,1,45,3,244.42,2024-07-14
74,100,13,44,3,218.9,2024-07-22
75,86,11,45,2,164.95,2024-01-05
76,239,12,21,2,275.99,2024-03-18
77,47,5,58,4,491.03,2024-09-01
78,169,12,47,2,191.24,2024-11-09
79,41,2,29,1,437.1,2024-09-14
80,245,14,68,4,332.51,2024-01-04
81,138,13,54,5,1376.08,2024-07-21
82,183,8,80,2,238.15,2024-02-10
83,99,3,31,3,334.53,2024-07-28
84,95,13,55,1,72.55,2024-02-26
85,124,15,38,4,179.92,2024-08-08
86,168,6,69,1,68.74,2024-06-28
87,163,14,42,5,811.77,2024-03-06
88,73,2,29,3,1407.62,2024-05-17
89,9,1,55,3,192.35,2024-07-07
90,167,5,15,2,77.3,2024-02-09
91,63,2,74,3,663.3,2024-11-10
92,220,13,80,1,140.54,2024-07-22
93,152,13,22,4,1653.75,2024-04-08
94,214,14,51,2,347.05,2024-08-31
95,40,6,9,5,470.94,2024-05-06
96,11,14,37,1,124.32,2024-04-27
97,80,6,8,3,802.25,2024-06-05
98,10,1,14,5,605.87,2024-07-21
99,122,8,77,1,214.44,2024-06-25
100,61,3,47,3,313.75,2024-01-28
101,137,14,73,3,273.31,2024-08-31
102,150,10,71,1,273.34,2024-12-17
103,194,11,42,2,340.44,2024-03-04
104,159,3,42,5,987.62,2024-11-14
105,193,10,35,5,599.67,2024-06-10
106,149,8,62,1,65.96,2024-08-18
107,36,11,8,1,231.69,2024-11-02
108,192,9,33,2,109.03,2024-04-14
109,143,14,76,4,196.11,2024-04-30
110,146,4,20,1,66.48,2024-12-03
111,128,9,6,5,516.72,2024-03-29
112,222,9,2,5,303.57,2024-04-18
113,9,3,2,2,135.1,2024-01-02
114,17,1,50,4,284.79,2024-02-28
115,233,1,71,5,1270.37,2024-10-12
116,124,15,16,1,62.19,2024-05-31
117,96,4,3,3,774.36,2024-04-30
118,161,15,11,5,443.44,2024-01-25
119,201,13,71,2,556.99,2024-06-07
120,222,7,41,1,66.92,2024-04-11
121,198,12,59,4,158.28,2024-01-02
122,72,6,76,4,231.95,2024-02-08
123,40,6,48,4,1434.58,2024-02-07
124,232,1,48,3,992.95,2024-12-28
125,73,2,1,4,1386.63,2024-02-21
126,158,7,76,3,156.37,2024-08-28
127,134,1,48,5,1637.79,2024-08-08
128,141,7,58,2,231.76,2024-10-17
129,47,10,60,1,148.17,2024-10-03
130,143,7,71,5,1201.28,2024-09-27
131,170,11,79,1,111.23,2024-07-08
132,100,13,3,5,1545.15,2024-07-12
133,178,1,5,1,302.4,2024-03-08
134,226,7,46,4,310.15,2024-11-19
135,148,9,6,4,405.06,2024-02-10
136,219,9,67,3,991.51,2024-02-07
137,181,13,4,4,1116.31,2024-05-28
138,24,12,18,4,245.31,2024-11-04
139,25,3,73,2,201.15,2024-11-07
140,152,12,15,4,145.95,2024-03-24
141,136,3,33,4,245.26,2024-12-28
142,227,15,50,3,257.55,2024-02-23
143,142,14,44,3,198.95,2024-01-24
144,80,6,67,2,701.28,2024-07-06
145,213,8,21,1,137.21,2024-07-23
146,237,4,44,4,259.67,2024-01-28
147,44,8,25,3,1174.23,2024-08-28
148,165,3,36,1,43.47,2024-09-05
149,167,9,67,2,612.0,2024-05-14
150,116,12,15,4,143.05,2024-10-04
151,198,15,65,1,145.4,2024-06-28
152,165,9,8,1,216.09,2024-07-09
153,157,1,53,1,264.21,2024-12-02
154,183,2,22,3,1247.71,2024-08-13
155,211,1,7,1,235.13,2024-02-06
156,180,13,1,4,1347.24,2024-12-24
157,168,14,68,5,407.4,2024-10-14
158,84,12,30,2,770.39,2024-09-24
159,106,8,27,4,1252.04,2024-10-31
160,72,5,15,4,154.47,2024-02-15
161,132,10,61,2,284.98,2024-10-02
162,28,2,39,1,328.47,2024-10-14
163,157,11,6,1,106.09,2024-05-31
164,249,4,47,4,363.55,2024-05-03
165,39,6,2,4,287.76,2024-10-06
166,10,7,58,2,236.69,2024-04-22
167,65,12,70,5,939.18,2024-06-04
168,45,3,44,4,318.16,2024-10-03
169,85,1,53,4,1051.38,2024-12-26
170,101,1,69,3,177.37,2024-07-05
171,41,7,6,1,107.43,2024-10-03
172,161,15,65,3,466.86,2024-12-07
173,64,10,33,1,63.94,2024-09-16
174,25,7,3,2,530.64,2024-05-31
175,242,12,47,1,94.9,2024-03-31
176,118,3,48,2,720.7,2024-05-17
177,241,12,16,1,55.93,2024-12-07
178,87,3,73,3,319.97,2024-01-31
179,41,1,7,1,242.2,2024-06-21
180,221,4,24,3,125.32,2024-12-01
181,176,11,53,5,1240.21,2024-08-12
182,12,5,64,1,124.09,2024-12-26
183,217,4,69,5,286.53,2024-06-30
184,191,12,41,1,73.08,2024-12-07
185,13,13,48,3,1151.79,2024-11-14
186,249,4,1,2,611.79,2024-10-23
187,145,2,22,2,849.0,2024-09-16
188,238,10,33,5,314.49,2024-11-10
189,134,15,44,5,386.31,2024-03-30
190,92,9,8,3,686.7,2024-06-23
191,118,3,32,4,422.56,2024-10-18
192,8,10,55,5,359.4,2024-10-06
193,184,7,9,1,81.86,2024-05-03
194,129,8,25,2,768.79,2024-10-18
195,74,14,50,2,136.47,2024-07-20
196,118,8,26,3,1057.01,2024-04-21
197,6,3,37,4,567.64,2024-03-07
198,143,15,73,3,298.74,2024-02-01
199,48,11,74,2,363.89,2024-04-23
200,85,5,9,1,81.53,2024-01-17
201,133,10,6,3,357.79,2024-11-22
202,143,13,66,3,213.78,2024-03-18
203,23,15,60,2,304.21,2024-11-11
204,161,15,59,3,134.4,2024-10-15
205,203,9,58,3,364.5,2024-04-05
206,183,2,70,1,216.81,2024-05-03
207,172,7,23,1,112.51,2024-03-13
208,95,8,26,1,349.75,2024-08-25
209,80,15,60,1,141.71,2024-06-25
210,42,14,73,1,86.57,2024-08-08
211,246,12,76,5,259.42,2024-03-28
212,242,2,67,5,1895.9,2024-01-03
213,94,11,52,1,304.6,2024-09-14
214,55,7,43,5,235.39,2024-10-28
215,202,15,61,2,282.19,2024-02-18
216,143,7,2,3,188.67,2024-09-02
217,196,9,78,2,69.02,2024-07-11
218,131,10,62,2,159.92,2024-05-21
219,80,6,13,5,194.52,2024-09-01
220,36,3,44,5,367.63,2024-04-27
221,16,3,33,3,188.28,2024-05-22
222,55,11,68,1,75.78,2024-07-03
223,62,10,17,1,76.85,2024-11-20
224,13,4,5,2,599.53,2024-03-07
225,113,12,15,1,36.4,2024-04-09
226,231,1,17,5,332.94,2024-06-20
227,137,15,31,1,110.37,2024-10-31
228,240,4,59,4,149.77,2024-10-26
229,73,2,23,1,126.48,2024-11-02
230,28,2,70,5,1062.86,2024-03-22
231,176,10,31,3,327.86,2024-10-04
232,71,14,51,4,649.88,2024-10-17
233,52,2,54,4,1045.66,2024-01-29
234,162,6,54,4,1094.74,2024-01-21
235,60,7,20,1,63.85,2024-07-20
236,143,6,9,3,279.04,2024-08-13
237,101,7,40,5,647.64,2024-04-25
238,8,10,51,2,384.95,2024-03-07
239,44,14,55,1,62.7,2024-03-16
240,56,5,18,3,196.08,2024-10-11
241,83,12,15,1,38.03,2024-09-19
242,227,11,69,4,250.82,2024-10-31
243,159,11,69,4,231.58,2024-05-02
244,80,12,11,5,387.93,2024-07-13
245,57,5,40,2,262.01,2024-05-24
246,250,8,47,1,91.9,2024-04-30
247,63,4,7,1,254.27,2024-05-03
248,153,2,68,4,360.97,2024-07-10
249,69,12,56,4,414.48,2024-10-15
250,69,11,53,4,1017.07,2024-05-17
251,198,12,43,2,92.37,2024-05-02
252,95,7,9,4,314.95,2024-10-31
253,53,13,9,2,175.46,2024-06-24
254,95,5,79,1,113.58,2024-11-12
255,131,15,46,2,176.8,2024-11-01
256,99,3,51,3,600.09,2024-04-03
257,62,2,29,2,887.62,2024-10-28
258,154,2,30,1,451.59,2024-05-15
259,140,11,8,2,469.26,2024-02-29
260,199,5,20,2,129.57,2024-01-29
261,146,8,74,2,359.6,2024-12-14
262,78,15,68,3,284.78,2024-03-13
263,162,15,58,1,140.52,2024-10-12
264,82,5,41,3,215.57,2024-03-31
265,228,7,59,3,111.32,2024-12-14
266,228,11,7,1,246.58,2024-11-25
267,240,3,4,5,1384.8,2024-06-23
268,80,15,60,4,588.23,2024-10-22
269,103,7,53,2,488.78,2024-01-02
270,23,2,6,3,378.76,2024-08-12
271,34,15,48,3,1117.83,2024-12-03
272,10,1,5,4,1199.51,2024-04-01
273,33,12,16,3,160.86,2024-04-09
274,113,2,24,2,94.21,2024-09-27
275,58,13,6,1,118.7,2024-04-11
276,160,7,5,5,1487.7,2024-03-31
277,111,15,65,2,299.47,2024-07-10
278,204,10,31,2,216.8,2024-11-23
279,198,12,30,5,1812.39,2024-09-24
280,8,10,65,2,312.8,2024-04-25
281,126,3,50,1,82.17,2024-02-16
282,202,15,36,4,183.88,2024-03-02
283,95,13,26,4,1573.01,2024-01-08
284,32,8,24,3,121.46,2024-10-10
285,229,4,72,2,814.79,2024-09-09
286,204,11,56,3,299.46,2024-05-12
287,103,13,9,2,176.67,2024-04-20
288,40,12,16,5,256.1,2024-02-24
