Governo do Estado do Rio de Janeiro
Secretaria de Estado de Fazenda
Subsecretaria de Politica Fiscal
Transparência Fiscal
Receitas entre 01/01/2017 e 01/08/2026
"Posição";"Poder";"Nome Poder";"Categoria Economica";"Nome Categoria Economica";"Receita por Fonte";"Nome Receita por Fonte";"Receita por Sub Fonte";"Nome Receita por SubFonte";"Rubrica";"Nome Rubrica";"Alinea";"Nome Alinea";"Sub Alinea";"Nome Sub Alinea";"Gestão";"Nome Gestão";"Órgão";"Nome Órgão";"UG";"Nome UG";"Fonte de Recursos";"Nome Fonte de Recursos";"Valor Previsão Inicial";"Valor Previsão Atualizada";"Valor Receita a Realizar";"Valor Receita Realizada"
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"192";"Indenizações e Restituições";"1922";"Restituições";"192299";"Outras Restituições";"19229900";"Outras Restituições";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"101";"Ordinários Não Provenientes de Impostos";47633293;320000000;-1438341,64;321438341,64
"12/2017";"1";"Executivo";"7";"RECEITAS INTRA-ORÇAMENTÁRIAS CORRENTES";"73";"RECEITA INTRA-ORÇAMENTÁRIA PATRIMONIAL";"731";"Receita Intra-Orçamentária Imobiliária";"7311";"Receita Intra-Orçamentária de Aluguéis";"731101";"Receita Intra-Orçamentária de Aluguéis de Imóveis Urbanos";"73110100";"Receita Intra-Orçamentária de Aluguéis de Imó";"00006";"ECONOMIA MISTA";"31";"Secretaria de Estado de Transportes";"137200";"CENTRAIS DE ABASTECIMENTO DO ESTADO DO RJ";"230";"Recursos Próprios";875000;875000;875000;0
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"17";"TRANSFERÊNCIAS CORRENTES";"172";"Transferências Intergovernamentais";"1721";"Transferências da União";"172199";"Outras Transferências da União";"17219999";"Demais Transferências da União";"00007";"FUNDO ESPECIAL";"11";"Defensoria Pública Geral do Estado";"116100";"FUNDO ESPECIAL DA DEFENSORIA PUBLICA DO ERJ";"212";"Transferências Voluntárias";0;0;-971973,14;971973,14
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"16";"RECEITA DE SERVIÇOS";"160";"RECEITA DE SERVIÇOS";"1600";"RECEITA DE SERVIÇOS";"160014";"Serviços de Inspeção e Fiscalização";"16001400";"Serviços de Inspeção e Fiscalização";"00003";"AUTARQUIAS";"24";"Secretaria de Estado do Ambiente";"243200";"INSTITUTO ESTADUAL DO AMBIENTE";"230";"Recursos Próprios";23900000;23900000;-5900715,23;29800715,23
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"11";"RECEITA TRIBUTÁRIA";"112";"Taxas";"1122";"Taxas pela Prestação de Serviços";"112299";"Outras Taxas pela Prestação de Serviços";"11229999";"Demais Taxas pela Prestação de Serviços";"00001";"TESOURO";"13";"Secretaria de Estado de Agricultura, Pecuária, Pesca e Abastecimento";"130200";"FUNDO ESTADUAL DE DEFESA AGROPECUÁRIA";"232";"Taxas pelo Exercício do Poder de Polícia e por Serviços Públicos";0;0;-1351440,74;1351440,74
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"191";"Multas e Juros de Mora";"1913";"Multas e Juros de Mora da Dívida Ativa dos Tributos";"191399";"Multas e Juros de Mora da Dívida Ativa de Outros Tributos";"19139903";"CP Estado para o RIOPREVIDÊNCIA dos Juros Mul";"00003";"AUTARQUIAS";"20";"Secretaria de Estado de Fazenda e Planejamento";"123400";"FUNDO UNICO DE PREVIDENCIA DO ESTADO DO RJ.";"231";"Recursos Próprios do Rioprevidência";0;0;-9925,52;9925,52
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"11";"RECEITA TRIBUTÁRIA";"112";"Taxas";"1121";"Taxas pelo Exercício do Poder de Polícia";"112199";"Outras Taxas pelo Exercício do Poder de Polícia";"11219907";"Tx.Reg.Serv. Conc. Perm. Exploração da Rodovi";"00003";"AUTARQUIAS";"21";"Secretaria de Estado da Casa Civil e Desenvolvimento Econômico";"043500";"AG.REG. DE ENERGIA E SANEAMENTO BASICO DO ERJ";"232";"Taxas pelo Exercício do Poder de Polícia e por Serviços Públicos";326398;326398;42314,09;284083,91
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"13";"RECEITA PATRIMONIAL";"132";"Receitas de Valores Mobiliários";"1325";"Remuneração de Depósitos Bancários";"132502";"Remuneração de Depósitos de Recursos Não Vinculados";"13250201";"Receita de Remuneração de Depósitos de Poupan";"00004";"FUNDACOES";"40";"Secretaria de Estado de Ciência,Tecnologia, Inovação e Desenvolvimento Social";"404400";"FUNDACAO APOIO A ESCOLA TECNICA ESTADO  RJ.";"224";"Transferências Legais Recebidas da União";0;0;-827438,05;827438,05
"12/2017";"1";"Executivo";"2";"RECEITAS DE CAPITAL";"21";"OPERAÇÕES DE CRÉDITO";"212";"Operações de Crédito Externas";"2123";"Operações de Crédito Externas Contratuais Relativas a Programas de Governo";"212399";"Outras Operações de Crédito Externas Relativas a Programas de Governo";"21239999";"Demais Operações de Crédito Externas para Pro";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"211";"Operações de Crédito";443329378;2062462708,37;1975093344,74;87369363,63
"12/2017";"1";"Executivo";"9";"DEDUÇÃO DA RECEITA CORRENTE";"99";"DEDUÇÃO DE OUTRAS RECEITAS CORRENTES";"993";"Dedução da Receita da Dívida Ativa";"9931";"Dedução da Receita da Dívida Ativa Tributária";"993115";"Ded da Rec da Dív Ativa do Imp sobre Circulação de Mercadorias e Prest Serv-ICMS";"99311502";"Dedução da Receita Cota-Parte dos Municípios ";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"100";"Ordinários Provenientes de Impostos";-106638804;-34999999,92;838979,32;-35838979,24
"12/2017";"1";"Executivo";"7";"RECEITAS INTRA-ORÇAMENTÁRIAS CORRENTES";"79";"OUTRAS RECEITAS INTRA-ORÇAMENTÁRIAS CORRENTES";"792";"Rec Intra-Orçamentária - Indenizações e Restituições";"7922";"Receita Intra-Orçamentária - Restituições";"792212";"Rec  Intra-Orçamentária - Ressarc. Despesa com Pessoal Cedido - Demais Áreas";"79221200";"Rec  Intra-Orçamentária - Ressarc. Despesa co";"00004";"FUNDACOES";"40";"Secretaria de Estado de Ciência,Tecnologia, Inovação e Desenvolvimento Social";"404400";"FUNDACAO APOIO A ESCOLA TECNICA ESTADO  RJ.";"230";"Recursos Próprios";0;0;-64301,83;64301,83
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"16";"RECEITA DE SERVIÇOS";"160";"RECEITA DE SERVIÇOS";"1600";"RECEITA DE SERVIÇOS";"160099";"Outros Serviços";"16009900";"Outros Serviços";"00003";"AUTARQUIAS";"40";"Secretaria de Estado de Ciência,Tecnologia, Inovação e Desenvolvimento Social";"403200";"PRODERJ-CENTRO DE TECNOL.DE INF.COMUN. ERJ";"230";"Recursos Próprios";0;0;-3064675,87;3064675,87
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"199";"Receitas Diversas";"1990";"Receitas Diversas";"199099";"Outras Receitas";"19909999";"Demais Receitas";"00003";"AUTARQUIAS";"21";"Secretaria de Estado da Casa Civil e Desenvolvimento Econômico";"263100";"DEPARTAMENTO DE TRANSITO DO RIO DE JANEIRO";"232";"Taxas pelo Exercício do Poder de Polícia e por Serviços Públicos";0;0;-284930,63;284930,63
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"192";"Indenizações e Restituições";"1922";"Restituições";"192252";"Ressarcimento de Pessoal Cedido- Área de Segurança";"19225200";"Ressarcimento de Pessoal Cedido- Área de Segu";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"120";"Ressarcimento de Pessoal";17018554;12000000,01;-6778369,44;18778369,45
"12/2017";"1";"Executivo";"2";"RECEITAS DE CAPITAL";"24";"TRANSFERÊNCIAS DE CAPITAL";"242";"Transferências Intergovernamentais";"2421";"Transferências da União";"242199";"Outras Transferências da União";"24219999";"Demais Transferências da União";"00007";"FUNDO ESPECIAL";"29";"Secretaria de Estado de Saúde";"326100";"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL-FEAS";"224";"Transferências Legais Recebidas da União";7780421;7780421;7780421;0
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"11";"RECEITA TRIBUTÁRIA";"111";"Impostos";"1112";"Impostos sobre o Patrimônio e a Renda";"111204";"Imposto sobre a Renda e Proventos de Qualquer Natureza";"11120431";"Imposto de Renda Retido nas Fontes sobre os R";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"100";"Ordinários Provenientes de Impostos";2855112114;2955112114;-798204478,34;3753316592,34
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"193";"Receita da Dívida Ativa";"1931";"Receita da Dívida Ativa Tributária";"193115";"Receita da Dívida Ativa do ICMS";"19311504";"Cota-Parte do Estado Dívida Ativa do ICMS - I";"00003";"AUTARQUIAS";"20";"Secretaria de Estado de Fazenda e Planejamento";"123400";"FUNDO UNICO DE PREVIDENCIA DO ESTADO DO RJ.";"231";"Recursos Próprios do Rioprevidência";1087812;1087812;710572,63;377239,37
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"193";"Receita da Dívida Ativa";"1931";"Receita da Dívida Ativa Tributária";"193115";"Receita da Dívida Ativa do ICMS";"19311505";"Cota-Parte do Estado da Dívida Ativa do ICM -";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"100";"Ordinários Provenientes de Impostos";352236;20000;3224,3;16775,7
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"17";"TRANSFERÊNCIAS CORRENTES";"176";"Transferências de Convênios";"1761";"Transferências de Convênios da União e de Suas Entidades";"176199";"Outras Transferências de  Convênios da União";"17619900";"Outras Transferências de  Convênios da União";"00001";"TESOURO";"15";"Secretaria de Estado de Cultura";"150100";"SECRETARIA DE ESTADO DE CULTURA";"212";"Transferências Voluntárias";3099324;3099324;-193704,9;3293028,9
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"13";"RECEITA PATRIMONIAL";"132";"Receitas de Valores Mobiliários";"1325";"Remuneração de Depósitos Bancários";"132503";"Fundos de Investimentos";"13250302";"Fundos de  Aplicação em Cotas - Renda Fixa";"00001";"TESOURO";"24";"Secretaria de Estado do Ambiente";"240100";"SECRETARIA DE ESTADO DO AMBIENTE.";"297";"Conservação Ambiental";0;0;-10213,82;10213,82
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"16";"RECEITA DE SERVIÇOS";"160";"RECEITA DE SERVIÇOS";"1600";"RECEITA DE SERVIÇOS";"160099";"Outros Serviços";"16009900";"Outros Serviços";"00001";"TESOURO";"09";"Procuradoria Geral do Estado";"090100";"PGE - PROCURADORIA GERAL DO ESTADO";"230";"Recursos Próprios";0;0;-97474,43;97474,43
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"13";"RECEITA PATRIMONIAL";"132";"Receitas de Valores Mobiliários";"1325";"Remuneração de Depósitos Bancários";"132503";"Fundos de Investimentos";"13250302";"Fundos de  Aplicação em Cotas - Renda Fixa";"00001";"TESOURO";"24";"Secretaria de Estado do Ambiente";"240400";"SEMADUR-FDO ESTADUAL DE CONSERVACAO AMBIENTAL";"297";"Conservação Ambiental";0;0;-40901,29;40901,29
"12/2017";"1";"Executivo";"2";"RECEITAS DE CAPITAL";"24";"TRANSFERÊNCIAS DE CAPITAL";"247";"Transferências de Convênios";"2471";"Transferências de Recursos da União e de suas Entidades";"247120";"Transferências de Convênios da União destinadas ao PAC";"24712000";"Transferências de Convênios da União destinad";"00003";"AUTARQUIAS";"24";"Secretaria de Estado do Ambiente";"243200";"INSTITUTO ESTADUAL DO AMBIENTE";"214";"Transferências do PAC";67861032;67861032;53204734,29;14656297,71
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"13";"RECEITA PATRIMONIAL";"132";"Receitas de Valores Mobiliários";"1325";"Remuneração de Depósitos Bancários";"132501";"Remuneração de Depósitos Bancários de Recursos Vinculados";"13250199";"Receita Remuneração de Outros  Depósitos Banc";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"126";"Contribuição de Intervenção no Domínio Econômico - CIDE";56736;0;0;0
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"192";"Indenizações e Restituições";"1922";"Restituições";"192299";"Outras Restituições";"19229900";"Outras Restituições";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"120";"Ressarcimento de Pessoal";0;0;-1383812,78;1383812,78
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"191";"Multas e Juros de Mora";"1915";"Multas e Juros de Mora da Dívida Ativa de Outras Receitas";"191599";"Outras Multas e Juros de Mora da Dívida Ativa de Outras Receitas";"19159900";"Outras Multas e Juros de Mora da Dívida Ativa";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"101";"Ordinários Não Provenientes de Impostos";2390520;5200000;65109,51;5134890,49
"12/2017";"2";"Legislativo";"1";"RECEITAS CORRENTES";"13";"RECEITA PATRIMONIAL";"132";"Receitas de Valores Mobiliários";"1325";"Remuneração de Depósitos Bancários";"132503";"Fundos de Investimentos";"13250301";"Fundo de Investimentos de Renda Fixa";"00007";"FUNDO ESPECIAL";"01";"Assembléia Legislativa";"016100";"FUNDO ESPECIAL DA ASSEMBLEIA LEGISLATIVA ERJ.";"230";"Recursos Próprios";18148688;18148688;-10428884,9;28577572,9
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"16";"RECEITA DE SERVIÇOS";"160";"RECEITA DE SERVIÇOS";"1600";"RECEITA DE SERVIÇOS";"160028";"Serviços de Geoprocessamento";"16002800";"Serviços de Geoprocessamento";"00003";"AUTARQUIAS";"31";"Secretaria de Estado de Transportes";"353100";"DEPARTAMENTO DE RECURSOS MINERAIS";"230";"Recursos Próprios";11786;11786;11191;595
"12/2017";"1";"Executivo";"7";"RECEITAS INTRA-ORÇAMENTÁRIAS CORRENTES";"72";"RECEITA INTRA-ORÇAMENTÁRIA DE CONTRIBUIÇÕES";"721";"Receita Intra-Orçamentária de Contribuições Sociais";"7210";"Receita Intra-Orçamentária de Contribuições Sociais";"721029";"Receita Intra-Orçamentária de Contribuições Previdenciárias do Regime Próprio";"72102903";"Receita Intraorçamentária Contribuição Patron";"00003";"AUTARQUIAS";"12";"Secretaria de Estado de Planejamento e Gestão - Em Extinção";"123499";"FUNDO DO PLANO PREVIDENCIARIO DO ERJ";"231";"Recursos Próprios do Rioprevidência";0;0;-159152134,03;159152134,03
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"13";"RECEITA PATRIMONIAL";"133";"Receita de Concessões e Permissões";"1339";"Outras Receitas de Concessões e Permissões";"133999";"Outras Receitas de Concessões  e Permissões";"13399900";"Outras Receitas de Concessões  e Permissões";"00003";"AUTARQUIAS";"17";"Secretaria de Estado de  Esporte, Lazer e Juventude";"173100";"SUPERINTENDENCIA DE DESPORTOS DO ESTADO DO RJ";"230";"Recursos Próprios";2036640;2036640;-172233,41;2208873,41
"12/2017";"4";"Ministério Público";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"199";"Receitas Diversas";"1990";"Receitas Diversas";"199099";"Outras Receitas";"19909999";"Demais Receitas";"00007";"FUNDO ESPECIAL";"10";"Ministério Público";"106100";"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ERJ";"230";"Recursos Próprios";0;0;-9575,38;9575,38
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"11";"RECEITA TRIBUTÁRIA";"112";"Taxas";"1121";"Taxas pelo Exercício do Poder de Polícia";"112199";"Outras Taxas pelo Exercício do Poder de Polícia";"11219905";"Tx.Reg.Serv.Conc.Perm. Captação, Prod. Distri";"00003";"AUTARQUIAS";"21";"Secretaria de Estado da Casa Civil e Desenvolvimento Econômico";"043400";"AG.REG.SV.PUB.CONC.TRANSP.AQUAV.FER.MET.E ROD";"232";"Taxas pelo Exercício do Poder de Polícia e por Serviços Públicos";570895;570895;-33224,55;604119,55
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"193";"Receita da Dívida Ativa";"1931";"Receita da Dívida Ativa Tributária";"193115";"Receita da Dívida Ativa do ICMS";"19311507";"Cota-Parte do Estado da Dívida Ativa -ICM - I";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"100";"Ordinários Provenientes de Impostos";0;110000;-5835,67;115835,67
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"192";"Indenizações e Restituições";"1922";"Restituições";"192299";"Outras Restituições";"19229900";"Outras Restituições";"00007";"FUNDO ESPECIAL";"25";"Secretaria de Estado de Administração Penitenciária";"256100";"FUNDO ESPECIAL PENITENCIARIO";"218";"Transferências Intraorçamentárias";0;0;-1;1
"12/2017";"1";"Executivo";"2";"RECEITAS DE CAPITAL";"22";"ALIENAÇÃO DE BENS";"221";"Alienação de Bens Móveis";"2214";"Alienação de Animais Reprodutores e Matrizes";"221401";"Alienação de Animais Reprodutores e Matrizes";"22140100";"Alienação de Animais Reprodutores e Matrizes";"00005";"EMPRESA PUBLICA";"31";"Secretaria de Estado de Transportes";"135400";"EMPRESA PESQUISA AGROPECUARIA DO ESTADO DO RJ";"133";"Alienação de Bens";37452;37452;-180798;218250
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"192";"Indenizações e Restituições";"1922";"Restituições";"192200";"Restituições";"19220002";"Restituições de Precatórios e Requisições de ";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"191";"Depósitos Judiciais Não Tributários";0;1139405509,77;0;1139405509,77
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"17";"TRANSFERÊNCIAS CORRENTES";"176";"Transferências de Convênios";"1761";"Transferências de Convênios da União e de Suas Entidades";"176199";"Outras Transferências de  Convênios da União";"17619900";"Outras Transferências de  Convênios da União";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"100";"Ordinários Provenientes de Impostos";0;0;-22247,09;22247,09
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"199";"Receitas Diversas";"1990";"Receitas Diversas";"199003";"Receita Decorrente de Alienação de Bens Apreendidos";"19900300";"Receita Decorrente de Alienação de Bens Apree";"00007";"FUNDO ESPECIAL";"29";"Secretaria de Estado de Saúde";"486100";"FUNDO DE PREV. FISCALIZAÇÃO E REPRESSÃO A ENTORPECENTES";"230";"Recursos Próprios";15000000;15000000;15000000;0
