mes,numero_mes,categoria,quantidade_vendida,valor_unitario,total_venda,custo_operacional,prazo_entrega_dias,satisfacao_cliente
Janeiro,1,Alimentos,12,77.18,926.16,361.26,2,9.4
Janeiro,1,Alimentos,10,78.68,786.8,380.49,1,10.0
Janeiro,1,Alimentos,7,64.24,449.68,291.11,3,9.5
Janeiro,1,Alimentos,12,49.84,598.08,397.97,2,9.3
Janeiro,1,Alimentos,4,48.48,193.92,131.25,2,9.7
Janeiro,1,Casa,2,199.31,398.62,270.72,6,7.4
Janeiro,1,Casa,2,233.51,467.02,343.41,5,8.4
Janeiro,1,Casa,2,220.06,440.12,258.62,4,8.6
Janeiro,1,Casa,2,320.54,641.08,256.56,2,9.7
Janeiro,1,Casa,3,173.43,520.29,438.88,4,8.3
Janeiro,1,Eletrônicos,2,783.41,1566.82,1277.72,8,6.5
Janeiro,1,Eletrônicos,1,777.72,777.72,533.62,5,8.3
Janeiro,1,Eletrônicos,2,690.87,1381.74,1368.34,5,8.2
Janeiro,1,Eletrônicos,2,697.14,1394.28,1071.49,7,7.0
Janeiro,1,Eletrônicos,1,786.23,786.23,630.3,8,6.3
Janeiro,1,Roupas,3,170.65,511.95,290.93,5,7.7
Janeiro,1,Roupas,4,174.72,698.88,346.41,4,8.9
Janeiro,1,Roupas,5,161.2,806.0,458.05,5,8.6
Janeiro,1,Roupas,3,104.12,312.36,233.53,4,9.0
Janeiro,1,Roupas,4,183.3,733.2,322.48,2,10.0
Fevereiro,2,Alimentos,8,54.67,437.36,255.81,2,9.4
Fevereiro,2,Alimentos,8,41.66,333.28,251.77,1,10.0
Fevereiro,2,Alimentos,8,51.09,408.72,276.48,2,9.9
Fevereiro,2,Alimentos,12,57.84,694.08,404.26,2,9.7
Fevereiro,2,Alimentos,7,61.68,431.76,226.49,1,9.7
Fevereiro,2,Casa,5,268.5,1342.5,763.86,3,9.3
Fevereiro,2,Casa,1,260.01,260.01,163.34,5,8.4
Fevereiro,2,Casa,4,230.59,922.36,613.43,4,8.9
Fevereiro,2,Casa,2,211.7,423.4,321.25,5,8.0
Fevereiro,2,Casa,2,317.41,634.82,319.23,4,8.7
Fevereiro,2,Eletrônicos,1,989.51,989.51,646.05,6,7.7
Fevereiro,2,Eletrônicos,2,791.36,1582.72,1320.42,7,6.9
Fevereiro,2,Eletrônicos,3,681.14,2043.42,1698.07,7,7.0
Fevereiro,2,Eletrônicos,2,856.79,1713.58,1191.26,5,7.7
Fevereiro,2,Eletrônicos,1,743.01,743.01,560.8,9,6.2
Fevereiro,2,Roupas,4,178.51,714.04,297.35,4,8.8
Fevereiro,2,Roupas,5,165.34,826.7,387.59,4,8.6
Fevereiro,2,Roupas,3,169.63,508.89,244.4,6,7.4
Fevereiro,2,Roupas,5,186.64,933.2,344.8,1,10.0
Fevereiro,2,Roupas,5,126.66,633.3,392.39,2,9.3
Março,3,Alimentos,10,59.55,595.5,341.64,1,10.0
Março,3,Alimentos,10,75.09,750.9,361.44,1,10.0
Março,3,Alimentos,4,73.77,295.08,137.79,1,9.8
Março,3,Alimentos,8,70.43,563.44,249.73,2,9.7
Março,3,Casa,2,254.58,509.16,376.8,4,8.9
Março,3,Casa,2,302.85,605.7,368.97,4,8.5
Março,3,Casa,5,230.09,1150.45,713.29,6,7.8
Março,3,Casa,1,282.72,282.72,159.75,4,9.1
Março,3,Eletrônicos,1,744.11,744.11,614.52,4,8.2
Março,3,Eletrônicos,2,984.56,1969.12,1195.7,8,5.9
Março,3,Eletrônicos,1,808.23,808.23,536.26,7,6.9
Março,3,Eletrônicos,1,902.77,902.77,612.85,5,8.1
Março,3,Roupas,3,148.66,445.98,162.21,2,9.5
Março,3,Roupas,5,163.39,816.95,367.27,6,7.3
Março,3,Roupas,3,136.51,409.53,189.03,3,8.9
Março,3,Roupas,5,149.26,746.3,317.3,3,8.8
Abril,4,Alimentos,12,64.51,774.12,378.94,2,9.8
Abril,4,Alimentos,3,62.12,186.36,113.09,1,10.0
Abril,4,Alimentos,5,67.41,337.05,176.28,1,9.8
Abril,4,Alimentos,9,62.94,566.46,275.59,3,9.1
Abril,4,Casa,2,248.69,497.38,353.12,4,9.1
Abril,4,Casa,4,309.23,1236.92,568.63,4,8.5
Abril,4,Casa,4,271.9,1087.6,578.44,5,8.4
Abril,4,Casa,2,192.79,385.58,279.24,4,8.7
Abril,4,Eletrônicos,1,678.46,678.46,618.85,5,7.7
Abril,4,Eletrônicos,2,810.45,1620.9,1164.12,7,6.6
Abril,4,Eletrônicos,2,706.01,1412.02,1161.35,7,6.8
Abril,4,Eletrônicos,2,693.94,1387.88,1218.45,7,6.8
Abril,4,Roupas,3,186.73,560.19,205.68,3,9.1
Abril,4,Roupas,3,176.06,528.18,259.0,4,8.8
Abril,4,Roupas,5,157.69,788.45,475.05,5,8.0
Abril,4,Roupas,6,158.25,949.5,434.89,3,8.8
Maio,5,Alimentos,4,64.89,259.56,130.72,2,9.4
Maio,5,Alimentos,11,56.26,618.86,409.36,4,8.6
Maio,5,Alimentos,8,75.02,600.16,272.73,1,10.0
Maio,5,Alimentos,8,69.44,555.52,260.28,1,9.7
Maio,5,Casa,3,228.91,686.73,478.46,6,7.8
Maio,5,Casa,1,215.55,215.55,134.94,4,8.6
Maio,5,Casa,3,269.02,807.06,498.0,6,7.9
Maio,5,Casa,2,263.2,526.4,262.45,6,7.6
Maio,5,Eletrônicos,2,772.91,1545.82,1208.1,5,8.0
Maio,5,Eletrônicos,1,842.85,842.85,688.67,6,7.4
Maio,5,Eletrônicos,2,956.86,1913.72,1007.1,7,7.2
Maio,5,Eletrônicos,2,867.29,1734.58,1329.97,8,6.3
Maio,5,Roupas,7,117.69,823.83,625.14,4,8.4
Maio,5,Roupas,4,129.81,519.24,322.43,3,9.3
Maio,5,Roupas,3,161.07,483.21,208.31,6,7.9
Maio,5,Roupas,4,171.49,685.96,288.46,4,8.5
Junho,6,Alimentos,4,45.35,181.4,140.67,2,9.4
Junho,6,Alimentos,10,55.87,558.7,320.26,2,9.4
Junho,6,Alimentos,9,35.73,321.57,313.29,1,10.0
Junho,6,Alimentos,11,48.48,533.28,452.56,1,10.0
Junho,6,Casa,1,222.73,222.73,146.29,4,8.8
Junho,6,Casa,3,308.14,924.42,405.07,6,7.5
Junho,6,Casa,3,243.73,731.19,456.6,6,7.4
Junho,6,Casa,4,262.85,1051.4,627.41,5,8.2
Junho,6,Eletrônicos,2,661.88,1323.76,1245.08,6,7.5
Junho,6,Eletrônicos,1,909.85,909.85,619.73,6,7.7
Junho,6,Eletrônicos,2,651.57,1303.14,1041.55,7,7.2
Junho,6,Eletrônicos,1,861.8,861.8,630.83,7,8.1
Junho,6,Roupas,5,154.48,772.4,375.99,4,8.5
Junho,6,Roupas,4,131.43,525.72,309.72,4,8.5
Junho,6,Roupas,4,111.45,445.8,363.32,3,9.4
Junho,6,Roupas,3,147.59,442.77,215.15,3,8.8
Julho,7,Alimentos,11,45.05,495.55,382.46,1,9.9
Julho,7,Alimentos,10,55.7,557.0,366.76,2,9.9
Julho,7,Alimentos,15,70.14,1052.1,510.88,1,10.0
Julho,7,Alimentos,10,59.13,591.3,330.93,2,9.6
Julho,7,Casa,3,199.92,599.76,467.11,5,8.2
Julho,7,Casa,2,275.31,550.62,266.32,5,8.1
Julho,7,Casa,3,235.25,705.75,451.29,6,7.6
Julho,7,Casa,3,299.84,899.52,458.84,5,8.1
Julho,7,Eletrônicos,1,1022.27,1022.27,599.19,5,8.3
Julho,7,Eletrônicos,2,916.24,1832.48,1115.75,6,7.5
Julho,7,Eletrônicos,2,841.57,1683.14,1118.4,7,7.2
Julho,7,Eletrônicos,2,936.27,1872.54,1314.48,7,7.0
Julho,7,Roupas,5,164.9,824.5,463.44,2,10.0
Julho,7,Roupas,3,155.48,466.44,245.88,3,9.0
Julho,7,Roupas,2,136.51,273.02,160.08,4,8.5
Julho,7,Roupas,7,150.79,1055.53,520.82,4,8.6
Agosto,8,Alimentos,10,52.26,522.6,336.54,3,9.0
Agosto,8,Alimentos,8,57.57,460.56,252.59,1,10.0
Agosto,8,Alimentos,10,60.13,601.3,349.16,2,9.6
Agosto,8,Alimentos,13,61.03,793.39,461.84,1,10.0
Agosto,8,Casa,3,281.27,843.81,470.66,4,8.2
Agosto,8,Casa,3,260.84,782.52,560.49,4,8.5
Agosto,8,Casa,3,199.01,597.03,483.58,5,8.6
Agosto,8,Casa,4,224.64,898.56,708.06,4,8.2
Agosto,8,Eletrônicos,1,825.06,825.06,482.42,5,8.1
Agosto,8,Eletrônicos,1,835.53,835.53,615.66,7,7.0
Agosto,8,Eletrônicos,1,1023.89,1023.89,628.43,5,8.3
Agosto,8,Eletrônicos,2,707.26,1414.52,1171.58,6,7.6
Agosto,8,Roupas,2,146.58,293.16,169.41,4,8.4
Agosto,8,Roupas,5,117.42,587.1,343.7,3,9.0
Agosto,8,Roupas,5,125.98,629.9,394.3,4,8.7
Agosto,8,Roupas,4,163.82,655.28,344.24,3,9.0
Setembro,9,Alimentos,12,49.83,597.96,442.25,3,8.5
Setembro,9,Alimentos,12,51.7,620.4,456.52,3,9.2
Setembro,9,Alimentos,8,55.08,440.64,279.08,1,9.9
Setembro,9,Alimentos,10,44.61,446.1,302.81,2,9.6
Setembro,9,Casa,3,257.79,773.37,462.22,3,8.8
Setembro,9,Casa,2,229.17,458.34,280.88,6,8.0
Setembro,9,Casa,2,258.22,516.44,307.48,6,7.6
Setembro,9,Casa,3,224.46,673.38,487.83,4,8.5
Setembro,9,Eletrônicos,2,820.56,1641.12,1186.12,6,7.2
Setembro,9,Eletrônicos,1,749.52,749.52,579.44,6,7.6
Setembro,9,Eletrônicos,1,894.45,894.45,669.52,6,7.8
Setembro,9,Eletrônicos,3,575.93,1727.79,1923.53,5,8.0
Setembro,9,Roupas,4,138.91,555.64,301.14,5,8.2
Setembro,9,Roupas,5,183.2,916.0,434.31,3,9.1
Setembro,9,Roupas,6,124.7,748.2,406.36,5,8.2
Setembro,9,Roupas,4,98.21,392.84,271.51,5,8.5
Outubro,10,Alimentos,7,65.19,456.33,240.03,2,9.4
Outubro,10,Alimentos,15,53.04,795.6,459.66,1,10.0
Outubro,10,Alimentos,10,57.71,577.1,402.64,1,10.0
Outubro,10,Alimentos,9,60.17,541.53,325.95,1,9.9
Outubro,10,Casa,3,248.52,745.56,480.67,5,8.1
Outubro,10,Casa,2,218.79,437.58,314.14,4,8.8
Outubro,10,Casa,3,272.8,818.4,458.4,4,8.6
Outubro,10,Casa,1,233.04,233.04,113.64,3,9.3
Outubro,10,Eletrônicos,1,744.72,744.72,663.43,7,6.7
Outubro,10,Eletrônicos,2,1026.34,2052.68,1220.95,7,7.1
Outubro,10,Eletrônicos,2,898.65,1797.3,1427.62,6,7.4
Outubro,10,Eletrônicos,2,807.71,1615.42,1070.67,6,7.8
Outubro,10,Roupas,3,170.24,510.72,247.38,4,8.8
Outubro,10,Roupas,3,149.58,448.74,233.07,4,8.4
Outubro,10,Roupas,3,184.9,554.7,242.78,5,8.1
Outubro,10,Roupas,4,162.97,651.88,329.96,7,7.4
Novembro,11,Alimentos,10,58.6,586.0,390.87,2,9.7
Novembro,11,Alimentos,11,59.5,654.5,395.78,1,10.0
Novembro,11,Alimentos,13,41.34,537.42,439.41,1,9.7
Novembro,11,Alimentos,10,51.19,511.9,364.29,1,10.0
Novembro,11,Casa,3,230.65,691.95,454.33,4,8.5
Novembro,11,Casa,3,193.16,579.48,519.64,7,6.9
Novembro,11,Casa,3,211.51,634.53,455.98,4,8.9
Novembro,11,Casa,3,265.95,797.85,406.49,4,8.6
Novembro,11,Eletrônicos,2,753.79,1507.58,1118.77,7,7.4
Novembro,11,Eletrônicos,1,796.82,796.82,603.61,9,6.1
Novembro,11,Eletrônicos,1,702.1,702.1,595.37,7,7.2
Novembro,11,Eletrônicos,1,825.98,825.98,602.73,6,8.1
Novembro,11,Roupas,3,137.4,412.2,257.94,4,8.6
Novembro,11,Roupas,5,184.49,922.45,395.65,4,8.8
Novembro,11,Roupas,8,189.5,1516.0,624.07,5,8.3
Novembro,11,Roupas,4,128.5,514.0,268.59,4,8.4
Dezembro,12,Alimentos,8,55.61,444.88,267.89,2,9.5
Dezembro,12,Alimentos,10,60.98,609.8,375.4,2,9.7
Dezembro,12,Alimentos,7,50.0,350.0,287.93,3,9.4
Dezembro,12,Alimentos,11,62.3,685.3,422.83,3,9.4
Dezembro,12,Casa,2,258.33,516.66,285.64,6,7.4
Dezembro,12,Casa,2,260.72,521.44,310.03,5,8.6
Dezembro,12,Casa,1,229.04,229.04,155.66,6,7.6
Dezembro,12,Casa,1,306.38,306.38,163.16,4,8.6
Dezembro,12,Eletrônicos,2,699.29,1398.58,1162.89,7,7.3
Dezembro,12,Eletrônicos,2,795.83,1591.66,1059.76,8,6.8
Dezembro,12,Eletrônicos,2,801.56,1603.12,1374.42,6,8.3
Dezembro,12,Eletrônicos,2,556.98,1113.96,1222.37,6,7.8
Dezembro,12,Roupas,5,178.75,893.75,376.34,4,8.5
Dezembro,12,Roupas,4,155.04,620.16,320.4,4,8.4
Dezembro,12,Roupas,7,128.29,898.03,598.42,5,7.7
Dezembro,12,Roupas,2,135.45,270.9,142.7,6,7.8
